,filepaths,pipelines,groups,contrast
0,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,1000,right-hand
1,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,1000,right-hand
2,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,1000,right-hand
3,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,1000,right-hand
4,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,1000,right-hand
5,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,1000,right-hand
6,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-0_con.nii,fsl-8-0-0,1000,right-hand
7,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-1_con.nii,fsl-8-0-1,1000,right-hand
8,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-0_con.nii,fsl-8-24-0,1000,right-hand
9,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-1_con.nii,fsl-8-24-1,1000,right-hand
10,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-0_con.nii,fsl-8-6-0,1000,right-hand
11,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-1_con.nii,fsl-8-6-1,1000,right-hand
12,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,right-hand
13,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,right-hand
14,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-0_con.nii,spm-5-24-0,1000,right-hand
15,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-1_con.nii,spm-5-24-1,1000,right-hand
16,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-0_con.nii,spm-5-6-0,1000,right-hand
17,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-1_con.nii,spm-5-6-1,1000,right-hand
18,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-0_con.nii,spm-8-0-0,1000,right-hand
19,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-1_con.nii,spm-8-0-1,1000,right-hand
20,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-0_con.nii,spm-8-24-0,1000,right-hand
21,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-1_con.nii,spm-8-24-1,1000,right-hand
22,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-0_con.nii,spm-8-6-0,1000,right-hand
23,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-1_con.nii,spm-8-6-1,1000,right-hand
24,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,100,right-hand
25,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,100,right-hand
26,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,100,right-hand
27,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,100,right-hand
28,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,100,right-hand
29,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,100,right-hand
30,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-0-0_con.nii,fsl-8-0-0,100,right-hand
31,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-0-1_con.nii,fsl-8-0-1,100,right-hand
32,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-24-0_con.nii,fsl-8-24-0,100,right-hand
33,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-24-1_con.nii,fsl-8-24-1,100,right-hand
34,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-6-0_con.nii,fsl-8-6-0,100,right-hand
35,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-6-1_con.nii,fsl-8-6-1,100,right-hand
36,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-0_con.nii,spm-5-0-0,100,right-hand
37,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-1_con.nii,spm-5-0-1,100,right-hand
38,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-24-0_con.nii,spm-5-24-0,100,right-hand
39,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-24-1_con.nii,spm-5-24-1,100,right-hand
40,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-6-0_con.nii,spm-5-6-0,100,right-hand
41,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-6-1_con.nii,spm-5-6-1,100,right-hand
42,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-0-0_con.nii,spm-8-0-0,100,right-hand
43,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-0-1_con.nii,spm-8-0-1,100,right-hand
44,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-24-0_con.nii,spm-8-24-0,100,right-hand
45,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-24-1_con.nii,spm-8-24-1,100,right-hand
46,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-6-0_con.nii,spm-8-6-0,100,right-hand
47,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-8-6-1_con.nii,spm-8-6-1,100,right-hand
48,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,101,right-hand
49,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,101,right-hand
50,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,101,right-hand
51,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,101,right-hand
52,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,101,right-hand
53,/nfs/nas-empenn/data/share/users/egermani/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,101,right-hand
