,filepaths,pipelines,groups,contrast
0,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,1000,right-hand
1,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,1000,right-hand
2,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,1000,right-hand
3,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,1000,right-hand
4,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,1000,right-hand
5,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,1000,right-hand
6,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-0_con.nii,fsl-8-0-0,1000,right-hand
7,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-1_con.nii,fsl-8-0-1,1000,right-hand
8,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-0_con.nii,fsl-8-24-0,1000,right-hand
9,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-1_con.nii,fsl-8-24-1,1000,right-hand
10,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-0_con.nii,fsl-8-6-0,1000,right-hand
11,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-1_con.nii,fsl-8-6-1,1000,right-hand
12,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,right-hand
13,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,right-hand
14,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-0_con.nii,spm-5-24-0,1000,right-hand
15,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-1_con.nii,spm-5-24-1,1000,right-hand
16,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-0_con.nii,spm-5-6-0,1000,right-hand
17,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-1_con.nii,spm-5-6-1,1000,right-hand
18,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-0_con.nii,spm-8-0-0,1000,right-hand
19,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-1_con.nii,spm-8-0-1,1000,right-hand
20,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-0_con.nii,spm-8-24-0,1000,right-hand
21,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-1_con.nii,spm-8-24-1,1000,right-hand
22,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-0_con.nii,spm-8-6-0,1000,right-hand
23,/Volumes/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-1_con.nii,spm-8-6-1,1000,right-hand
